time,band,tx_sign,tx_lat,tx_lon,rx_sign,rx_lat,rx_lon,frequency,snr,drift,power,distance,snr_z,drift_z,arc_id
2014-03-07 21:30:00,14,VE3HII,43.938,-79.458,G4DND,50.479,-3.042,14097086,-20,0,27,5559,5.396,,ping-214126
2014-03-07 21:34:00,10,OK2SAM,49.854,18.292,G0MQW,51.479,-0.958,10140207,-8,0,27,1365,6.070,,ping-214126
2014-03-07 21:34:00,14,KC6KGE,35.146,-119.458,KI7CI,39.313,-119.792,14097162,14,-1,37,464,5.396,,ping-214126
2014-03-07 21:34:00,14,KC6KGE,35.146,-119.458,AF6CH,39.021,-119.875,14097153,13,0,37,432,7.419,0.674,ping-214126
2014-03-07 21:36:00,14,KI7CI,39.313,-119.792,KC6KGE,35.146,-119.458,14097145,10,0,40,464,8.600,0.674,ping-214126
2014-03-07 21:36:00,14,HB9CZF,47.313,8.208,KC3AVT,39.021,-77.042,14097074,-9,-1,30,6624,5.396,,ping-214126
2014-03-07 21:36:00,28,WK0I,32.854,-97.042,W3CSW,39.146,-77.125,28126093,-19,0,37,1918,-16.862,,ping-214126
2014-03-07 21:38:00,10,ON7KO,51.188,4.208,MW0CWF,51.438,-3.292,10140283,-24,0,37,522,-7.644,,ping-214126
2014-03-07 21:40:00,10,GM4WMM,59.063,-3.042,DK6UG,49.521,8.208,10140224,-21,0,37,1284,-7.689,,ping-214126
2014-03-07 21:40:00,28,K3SIW,42.021,-88.375,KE7KRF,31.938,-109.125,28126134,-25,1,37,2149,-9.443,,ping-214126
2014-03-07 21:42:00,10,OZ7IT,55.229,12.292,LA5GOA,59.354,5.208,10140229,-24,0,37,625,-8.768,,ping-214126
2014-03-07 21:42:00,14,AD4PT,32.979,-97.125,GM4SFW,57.521,-4.375,14097157,-23,0,37,7122,-5.396,,ping-214126
2014-03-07 21:44:00,3,G3RMK,51.104,-0.125,DK6UG,49.521,8.208,3594090,-3,0,23,617,5.396,,ping-214126
2014-03-07 21:48:00,10,N1NCO,42.479,-71.458,W3BI,40.563,-75.625,10140179,-12,0,37,407,-5.059,,ping-214126
2014-03-07 21:52:00,10,GM4WMM,59.063,-3.042,DK6UG,49.521,8.208,10140225,-19,0,37,1284,-7.150,,ping-214126
2014-03-07 21:54:00,28,WK0I,32.854,-97.042,WA6JRW,34.188,-117.375,28126143,-25,0,37,1888,-11.804,,ping-214126
2014-03-07 21:54:00,28,WK0I,32.854,-97.042,W3CSW,39.146,-77.125,28126093,-22,0,37,1918,-18.886,,ping-214126
2014-03-07 21:56:00,14,HB9CZF,47.313,8.208,VK3DXE,-38.104,145.125,14097086,-22,-1,30,16400,-6.070,,ping-214126
2014-03-07 21:58:00,7,G4ZXE,51.438,-2.625,PI4THT,52.229,6.875,7040063,-24,0,37,658,-8.094,,ping-214126
2014-03-07 21:58:00,10,GM4SFW,57.521,-4.375,DK6UG,49.521,8.208,10140286,-25,0,37,1214,-6.070,,ping-214126
2014-03-07 21:58:00,10,ON7KB,51.354,4.375,VE1MDO,44.688,-63.958,10140207,-13,0,33,4949,6.070,,ping-214126
2014-03-07 22:00:00,7,G4FKK,51.354,-0.125,DK6UG,49.521,8.208,7040043,-26,0,33,624,-6.070,,ping-214126
2014-03-07 22:22:00,10,GM4WMM,59.063,-3.042,4X1RF,32.771,34.958,10140221,-4,0,37,4047,5.059,,ping-224121
2014-03-07 22:22:00,10,ON7KO,51.188,4.208,GM4EFR,58.604,-3.375,10140236,-18,0,37,955,-8.768,,ping-224121
2014-03-07 22:24:00,28,W5COV,36.979,-95.625,KC2GMM,41.479,-75.042,28126082,-24,0,37,1837,-13.715,,ping-224121
2014-03-07 22:24:00,28,ZL2IT,-39.479,176.875,KD6RF,37.688,-121.792,28126104,-27,0,37,10618,-5.396,,ping-224121
2014-03-07 22:26:00,14,HB9CZF,47.313,8.208,VK2MKD,-33.854,151.208,14097129,-25,-1,30,16593,-5.733,,ping-224121
2014-03-07 22:26:00,14,G3JKF,50.771,0.125,AD4PT,32.979,-97.125,14097152,-27,0,37,7697,-6.070,,ping-224121
2014-03-07 22:26:00,28,N7SCQ,38.438,-121.792,W3CSW,39.146,-77.125,28126074,-26,0,30,3832,-5.846,,ping-224121
2014-03-07 22:28:00,7,ON7KB,51.354,4.375,DK6UG,49.521,8.208,7040096,-26,0,33,339,-13.715,,ping-224121
2014-03-07 22:28:00,7,G0MJI,53.354,-2.875,R2DDX,54.479,38.958,7040039,-7,0,23,2702,5.396,,ping-224121
2014-03-07 22:30:00,7,G4FKK,51.354,-0.125,DK6UG,49.521,8.208,7040042,-28,0,33,624,-6.520,,ping-224121
2014-03-07 22:30:00,7,G4FKK,51.354,-0.125,K4RCG,38.479,-78.042,7040047,-23,0,33,6000,-6.070,,ping-224121
2014-03-07 22:32:00,7,ON7KO,51.188,4.208,DK6UG,49.521,8.208,7040109,-17,0,37,339,-6.408,,ping-224121
2014-03-07 22:32:00,10,G8VDQ,51.521,-0.292,4X1RF,32.771,34.958,10140144,-33,0,37,3523,-7.419,,ping-224121
2014-03-07 22:32:00,10,WD0UG,34.479,-87.042,K9AN,40.104,-88.125,10140158,-13,-3,30,633,-10.117,0.000,ping-224121
2014-03-07 22:32:00,10,G8VDQ,51.521,-0.292,OX3XR,64.188,-51.708,10140155,-25,0,37,3237,-6.070,,ping-224121
2014-03-07 22:32:00,14,KB1CHU,42.063,-70.708,KC3AVT,39.021,-77.042,14097048,6,-1,30,633,5.396,0.674,ping-224121
2014-03-07 22:32:00,14,G3JKF,50.771,0.125,K4RCG,38.479,-78.042,14097165,-25,1,37,6038,-6.070,,ping-224121
2014-03-07 22:34:00,7,DC4LC,48.646,9.125,YO3ITD,44.396,26.208,7040121,-19,1,30,1386,-8.768,,ping-224121
2014-03-07 22:34:00,14,VE3DVV,43.146,-79.875,G4DND,50.479,-3.042,14097063,-13,0,23,5638,8.768,,ping-224121
2014-03-07 22:34:00,28,KD6RF,37.688,-121.792,NH7SR,21.313,-157.792,28126131,-19,0,37,3898,-5.396,,ping-224121
2014-03-07 22:34:00,28,KD6RF,37.688,-121.792,W3CSW,39.146,-77.125,28126126,-22,0,37,3855,-5.396,,ping-224121
2014-03-07 22:38:00,10,G0PKT,51.479,0.958,OX3XR,64.188,-51.708,10140177,-33,0,23,3301,-6.745,,ping-224121
2014-03-07 22:38:00,10,G8VDQ,51.521,-0.292,OX3XR,64.188,-51.708,10140155,-25,0,37,3237,-6.070,,ping-224121
2014-03-07 22:38:00,10,G0MBA,51.813,1.125,OX3XR,64.188,-51.708,10140142,-31,0,23,3282,-7.082,,ping-224121
2014-03-07 22:40:00,3,DL2XL,51.188,6.208,G6RRL,50.938,-1.292,3594133,-25,0,23,525,-9.668,,ping-224121
2014-03-07 22:40:00,10,ON7KO,51.188,4.208,4X1RF,32.771,34.958,10140195,-13,0,37,3224,-6.745,,ping-224121
2014-03-07 22:40:00,10,G8VDQ,51.521,-0.292,4X1RF,32.771,34.958,10140144,-33,0,37,3523,-7.419,,ping-224121
2014-03-07 22:40:00,10,ON7KO,51.188,4.208,GM4EFR,58.604,-3.375,10140236,-20,0,37,955,-9.443,,ping-224121
2014-03-07 22:40:00,28,KB9AMG,42.979,-88.375,KE7KRF,31.938,-109.125,28126107,-7,0,37,2195,5.396,,ping-224121
2014-03-07 22:42:00,10,WD0UG,34.479,-87.042,K9AN,40.104,-88.125,10140158,-11,-1,30,633,-8.768,1.349,ping-224121
2014-03-07 22:44:00,0,PA3ABK/2,51.813,4.708,DC0DX/A,51.438,6.958,475742,-10,0,27,161,-5.396,,ping-224121
2014-03-07 22:44:00,28,KK4MBI,38.896,-77.125,WK0I,32.854,-97.042,28126126,-11,-1,37,1911,-9.443,,ping-224121
2014-03-07 22:46:00,14,W3GXT,39.479,-76.792,KB1MVX,33.479,-85.042,14097096,-25,0,37,994,-7.419,,ping-224121
2014-03-07 22:48:00,3,G3JKF,50.771,0.125,DK6UG,49.521,8.208,3594150,-13,0,37,592,-6.070,,ping-224121
2014-03-07 22:48:00,10,G0PKT,51.479,0.958,4X1RF,32.771,34.958,10140168,-25,0,23,3441,-5.396,,ping-224121
2014-03-07 22:48:00,10,W3BH,40.479,-79.042,W3BI,40.563,-75.625,10140149,-23,-1,23,289,-5.396,,ping-224121
2014-03-07 22:50:00,3,DL2XL,51.188,6.208,G6RRL,50.938,-1.292,3594134,-17,1,23,525,-6.070,,ping-224121
2014-03-07 22:50:00,28,KD6RF,37.688,-121.792,W3CSW,39.146,-77.125,28126126,-25,0,37,3855,-6.205,,ping-224121
2014-03-07 22:52:00,3,G6RRL,50.938,-1.292,DK6UG,49.521,8.208,3594078,-22,0,33,693,-5.059,,ping-224121
2014-03-07 22:52:00,3,G6RRL,50.938,-1.292,PA0JEN,51.604,4.708,3594131,-28,0,33,424,-5.396,,ping-224121
2014-03-07 22:52:00,3,G6RRL,50.938,-1.292,PI4THT,52.229,6.875,3594078,-20,0,33,582,-9.443,,ping-224121
2014-03-07 22:52:00,3,G6RRL,50.938,-1.292,DF2JP,51.271,6.792,3594089,-24,0,33,565,-8.094,,ping-224121
2014-03-07 22:54:00,7,DC4LC,48.646,9.125,YO3ITD,44.396,26.208,7040146,-8,1,30,1386,6.070,,ping-224121
2014-03-07 22:54:00,14,VE3DVV,43.146,-79.875,AI4RY,32.604,-85.458,14097066,-15,0,23,1270,6.745,,ping-224121
2014-03-07 22:54:00,28,W1QG,37.271,-122.042,W3CSW,39.146,-77.125,28126183,-13,0,37,3890,-11.466,,ping-224121
2014-03-07 22:56:00,10,VE3DVV,43.146,-79.875,VE1MDO,44.688,-63.958,10140241,-11,0,23,1284,6.070,,ping-224121
2014-03-07 23:52:00,7,ON7KO,51.188,4.208,DK6UG,49.521,8.208,7040109,-16,1,37,339,-6.070,,ping-001059
2014-03-07 23:52:00,28,CX2ABP,-34.896,-56.125,KI6STW,37.438,-121.875,28126070,-4,1,37,10520,6.745,,ping-001059
2014-03-07 23:54:00,14,K4COD,33.104,-84.458,W4MO,27.479,-83.042,14097198,-15,0,37,640,-6.745,,ping-001059
2014-03-07 23:54:00,28,KD6RF,37.688,-121.792,WG2Z,41.021,-74.792,28126137,-21,0,37,4009,-7.082,,ping-001059
2014-03-07 23:56:00,7,HB9BDJ,46.146,7.125,ON7KO,51.188,4.208,7040019,-23,0,37,600,-6.408,,ping-001059
2014-03-07 23:56:00,14,W4AC,26.979,-82.292,K4COD,33.104,-84.458,14097078,-22,0,30,712,-5.396,,ping-001059
2014-03-07 23:56:00,14,W4AC,26.979,-82.292,K6CCA,37.146,-121.625,14097078,-8,0,30,3845,12.141,,ping-001059
2014-03-07 23:56:00,28,N7SCQ,38.438,-121.792,WG2Z,41.021,-74.792,28126085,-23,0,30,3981,-9.106,,ping-001059
2014-03-07 23:58:00,7,DC4LC,48.646,9.125,ON7KO,51.188,4.208,7040016,-24,0,30,451,-6.070,,ping-001059
2014-03-07 23:58:00,14,W4MO,27.104,-82.375,K4RCG,38.479,-78.042,14097071,-21,1,33,1328,-5.059,,ping-001059
2014-03-07 23:58:00,28,KI6STW,37.438,-121.875,JH1GYE,36.354,139.042,28126070,-16,0,33,8336,9.443,,ping-001059
2014-03-08 00:00:00,7,ON7KO,51.188,4.208,DK6UG,49.521,8.208,7040110,-16,0,37,339,-6.070,,ping-001059
2014-03-08 00:00:00,14,W3GXT,39.479,-76.792,DK6UG,49.521,8.208,14097100,-2,0,37,6469,5.396,,ping-001059
2014-03-08 00:00:00,28,N7SCQ,38.438,-121.792,WG2Z,41.021,-74.792,28126085,-22,0,30,3981,-8.768,,ping-001059
2014-03-08 00:02:00,10,K4RCG,38.479,-78.042,WD4ELG,36.479,-79.042,10140207,-3,0,37,239,-5.171,,ping-001059
2014-03-08 00:02:00,10,K4RCG,38.479,-78.042,W3BI,40.563,-75.625,10140212,-10,0,37,311,-6.408,,ping-001059
2014-03-08 00:02:00,14,WA3DNM,39.938,-75.542,W4MO,27.479,-83.042,14097096,5,0,37,1548,5.396,,ping-001059
2014-03-08 00:02:00,28,KB4RG,29.563,-98.125,WA6JRW,34.188,-117.375,28126019,-20,0,37,1886,-8.768,,ping-001059
2014-03-08 00:04:00,14,W4AC,26.979,-82.292,K6CCA,37.146,-121.625,14097078,-12,0,30,3845,6.745,,ping-001059
2014-03-08 00:04:00,14,K4RCG,38.479,-78.042,KB1MVX,33.479,-85.042,14097099,-23,0,37,840,-10.455,,ping-001059
2014-03-08 00:04:00,14,K4RCG,38.479,-78.042,W9HLY,40.813,-84.958,14097104,-18,1,37,646,-5.261,,ping-001059
2014-03-08 00:06:00,7,OZ7IT,55.229,12.292,K4RCG,38.479,-78.042,7040156,-19,0,37,6609,6.070,,ping-001059
2014-03-08 00:06:00,28,WG2Z,41.021,-74.792,WK0I,32.854,-97.042,28126058,-29,0,37,2168,-6.070,,ping-001059
2014-03-08 00:08:00,10,N1NCO,42.479,-71.458,W3BI,40.563,-75.625,10140179,-19,0,37,407,-7.419,,ping-001059
2014-03-08 00:08:00,28,K4RCG,38.479,-78.042,KD6RF,37.688,-121.792,28126164,-26,0,37,3793,-5.396,,ping-001059
2014-03-08 00:10:00,7,ON7KO,51.188,4.208,DK6UG,49.521,8.208,7040109,-17,0,37,339,-6.408,,ping-001059
2014-03-08 00:12:00,3,VA3MW,44.521,-78.625,K4RCG,38.479,-78.042,3594151,-18,0,37,674,-15.513,,ping-001059
2014-03-08 00:12:00,28,KB9AMG,42.979,-88.375,VK7ZL,-42.771,147.042,28126065,-17,0,37,15584,6.070,,ping-001059
2014-03-08 00:12:00,50,KD6RF/H,37.688,-121.792,N6KOG,37.771,-121.458,50294530,11,0,43,31,14.164,,ping-001059
2014-03-08 00:14:00,10,WD4ELG,36.188,-79.875,K4RCG,38.479,-78.042,10140221,-23,0,27,302,-5.621,,ping-001059
2014-03-08 00:14:00,14,AA7FV,32.271,-110.708,K7FET,45.521,-122.958,14097154,-12,0,33,1811,5.396,,ping-001059
2014-03-08 00:14:00,14,K4COD,33.104,-84.458,W4MO,27.479,-83.042,14097199,-15,0,37,640,-6.745,,ping-001059
2014-03-08 00:14:00,14,K4COD,33.104,-84.458,KD0LKW,46.479,-93.042,14097146,-10,0,37,1656,6.745,,ping-001059
2014-03-08 00:16:00,10,W3BI,40.563,-75.625,PI4THT,52.229,6.875,10140280,-7,0,30,6107,6.745,,ping-001059
2014-03-08 00:16:00,14,K4RCG,38.479,-78.042,DK6UG,49.521,8.208,14097102,-15,0,37,6624,-6.745,,ping-001059
2014-03-08 00:16:00,14,K4RCG,38.479,-78.042,K4COD,33.104,-84.458,14097104,-15,1,37,832,-6.745,,ping-001059
2014-03-08 00:18:00,7,ON7KO,51.188,4.208,DK6UG,49.521,8.208,7040110,-16,1,37,339,-6.070,,ping-001059
2014-03-08 00:18:00,28,WK0I,32.854,-97.042,WA6JRW,34.188,-117.375,28126141,-23,-1,37,1888,-11.129,,ping-001059
2014-03-08 00:20:00,10,W3CSW,39.146,-77.125,WD4ELG,36.479,-79.042,10140259,-14,0,33,341,-14.839,,ping-001059
2014-03-08 00:20:00,14,WA3DNM,39.938,-75.542,K4EH,33.479,-85.042,14097090,2,0,37,1109,5.396,,ping-001059
2014-03-08 00:20:00,28,N7SCQ,38.438,-121.792,WG2Z,41.021,-74.792,28126085,-26,0,30,3981,-10.117,,ping-001059
2014-03-08 00:22:00,14,K4COD,33.104,-84.458,W4MO,27.479,-83.042,14097198,-13,0,37,640,-6.070,,ping-001059
2014-03-08 00:22:00,14,K4COD,33.104,-84.458,W3GXT,39.479,-76.792,14097158,-13,0,37,986,-6.745,,ping-001059
2014-03-08 00:22:00,50,KD6RF/H,37.688,-121.792,N6KOG,37.771,-121.458,50294530,12,0,43,31,14.839,,ping-001059
2014-03-08 00:24:00,14,K4EH,33.438,-84.458,W9HLY,40.813,-84.958,14097066,-22,0,37,821,-16.188,,ping-001059
2014-03-08 00:26:00,10,N1NCO,42.479,-71.458,W3BI,40.563,-75.625,10140179,-20,-1,37,407,-7.757,,ping-001059
2014-03-08 00:26:00,28,KB9AMG,42.979,-88.375,AC7SM,36.188,-115.292,28126075,-14,1,37,2415,-6.070,0.674,ping-001059
2014-03-08 00:28:00,14,K9AN,40.104,-88.125,W3GXT,39.479,-76.792,14097167,-21,0,30,970,-8.094,,ping-001059
